action,choice1,choice2,firstPlayer,game,indexOf,judgements1,judgements2,leftLabel,outcome,phase,rangeProb1,rangeProb2,status,template,templates,time,uniqueid,viewTime
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,1,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,1,193238.0
,A,A,_v,singleControl,,Maria wanted it to be even.,He wanted to be fair and have the money come out evenly too.,Definitely<br />Enemies,0.0,TRIAL,85,73,,,,261673.0,1,
,A,B,_h,singleControl,,money is even,"Jack  gets more.
",Definitely<br />Enemies,1.0,TRIAL,61,42,,,,322513.0,1,
,B,B,_v,pd,,Megan gets all of the money.,Money is even.,Definitely<br />Enemies,3.0,TRIAL,39,58,,,,377884.0,1,
,A,A,_v,pd,,Money is even.,Money even.,Definitely<br />Enemies,0.0,TRIAL,62,58,,,,417786.0,1,
,B,A,_v,threat,,He gets more.,Letting him get more than him.,Definitely<br />Enemies,1.0,TRIAL,45,63,,,,476683.0,1,
,A,A,_v,threat,,Gives Olivia more.,Olivia got  more.,Definitely<br />Enemies,0.0,TRIAL,57,44,,,,519798.0,1,
,B,B,_v,threat,,Sally got more.,He gave all of the money to Sally.,Definitely<br />Enemies,3.0,TRIAL,48,55,,,,580063.0,1,
,A,A,_h,disjunctive,,Even money,money even,Definitely<br />Enemies,0.0,TRIAL,62,60,,,,639470.0,1,
,B,B,_h,disjunctive,,money even,neither got money,Definitely<br />Enemies,3.0,TRIAL,59,55,,,,662122.0,1,
,B,B,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,702340.0,1,
,A,A,_v,coordination,,money even,money even,Definitely<br />Enemies,0.0,TRIAL,63,59,,,,736207.0,1,
,B,A,_v,coordination,,money even which is none,money even which is none,Definitely<br />Enemies,1.0,TRIAL,57,51,,,,764567.0,1,
,,,,,,,,,,END,,,begin,,,,1,
,,,,,,,,,,END,,,submit,,,,1,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,2,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,2,31968.0
,A,A,_h,pd,,equal pay,equal pay,Definitely<br />Friends,0.0,TRIAL,21,17,,,,37374.0,2,
,B,B,_h,pd,,he takes it all,equal pay out,Definitely<br />Friends,3.0,TRIAL,79,29,,,,77094.0,2,
,B,B,_h,threat,,he took it all,he took it all,Definitely<br />Friends,3.0,TRIAL,79,82,,,,128613.0,2,
,A,A,_v,threat,,unequal pay,she wanted to give her more,Definitely<br />Friends,0.0,TRIAL,59,39,,,,164843.0,2,
,B,A,_v,threat,,uneven pay out,It was better than choosing $0,Definitely<br />Friends,1.0,TRIAL,51,53,,,,220955.0,2,
,A,A,_v,disjunctive,,both options give the same pay,both options give the same pay,Definitely<br />Friends,0.0,TRIAL,53,90,,,,249870.0,2,
,B,B,_v,disjunctive,,better than choosing $0 across the board,they both chose $0,Definitely<br />Friends,3.0,TRIAL,51,91,,,,300142.0,2,
,B,A,_v,coordination,,even pay in positive.,he didnt want jack to have any,Definitely<br />Friends,1.0,TRIAL,27,83,,,,333801.0,2,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,2,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,2,4656.0
,A,A,_v,coordination,,even pay out,better than not getting anything.,Definitely<br />Friends,0.0,TRIAL,33,53,,,,380679.0,2,
,A,A,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,56,60,,,,417727.0,2,
,A,A,_h,singleControl,,even pay out and better than 0,even pay out ,Definitely<br />Friends,0.0,TRIAL,32,30,,,,455503.0,2,
,B,A,_v,singleControl,,he doesnt want her to have money,she wants him to have money over her.,Definitely<br />Friends,1.0,TRIAL,74,34,,,,491996.0,2,
,,,,,,,,,,END,,,begin,,,,2,
,,,,,,,,,,END,,,submit,,,,2,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,3,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,3,118573.0
,B,B,_v,pd,,Kaylee did not trust Lauren,Lauren reciprocated Kaylee's selfishness,Definitely<br />Enemies,3.0,TRIAL,13,6,,,,66160.0,3,
,A,A,_v,pd,,Daniel is unselfish with Luke,Both were unselfish,Definitely<br />Enemies,0.0,TRIAL,100,100,,,,99605.0,3,
,A,A,_h,coordination,,Zoe's choice didn't matter,Jack only had one real choice,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,138382.0,3,
,B,A,_v,coordination,,Gavin's choice is irrelevant,Sydney would rather Gavin have nothing than have something themself,Definitely<br />Enemies,1.0,TRIAL,50,0,,,,171315.0,3,
,B,A,_v,singleControl,,Rebecca screwed Robert for no reason,Robert has no real choice,Definitely<br />Enemies,1.0,TRIAL,0,0,,,,204510.0,3,
,A,A,_v,singleControl,,Megan picked the sensible option but lost nothing,William had no choice,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,233582.0,3,
,A,A,_h,threat,,Emily is attempting to maximize payout,Matthew was selfless,Definitely<br />Enemies,0.0,TRIAL,50,100,,,,282555.0,3,
,A,A,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,295887.0,3,
,B,B,_h,threat,,Geoff is minimizing payout,Jacob made the selfish choice,Definitely<br />Enemies,3.0,TRIAL,0,0,,,,323958.0,3,
,A,B,_h,threat,,Matt is maximizing payout,"Austin chooses selfishly, but it is expected behavior",Definitely<br />Enemies,1.0,TRIAL,50,49,,,,359933.0,3,
